Date,VaR95,cVar95,VaR99,cVaR99
2016-04-01,-5460.45648,-6759.032345999999,-7489.573974,-8333.467433999998
2016-05-02,-4641.97657,-5732.01139,-6075.4461599999995,-7547.87152
2016-06-01,-3469.122592,-4396.444338,-5016.812346000001,-5646.269564
2016-07-01,-3176.364912,-3995.7991679999996,-4521.356304,-5009.404079999999
2016-08-01,-3642.658068,-4616.353876,-5044.826228,-6067.8814
2016-09-01,-3408.326154,-4360.036353,-4880.972324,-5535.637513000001
2016-10-03,-3119.594879999999,-3859.3267199999996,-4196.366399999999,-4773.908799999999
2016-11-01,-3751.97173,-4839.66821,-5333.58514,-6549.03561
2016-12-01,-3358.598954,-4239.224596,-4681.149016,-5215.880228
2017-01-02,-2910.0599819999998,-3682.615749,-3981.722499,-4981.478409
2017-02-01,-5094.486188,-6348.3906959999995,-6951.685113,-7952.752197
2017-03-01,-4245.2384,-5246.332325,-5873.646675,-6723.222025
2017-04-03,-4858.734767000001,-5824.4950610000005,-6440.382348,-7140.034695
2017-05-01,-4462.345451,-5824.808879,-6531.282038,-7797.937423
2017-06-01,-5525.202299999999,-6844.536599999999,-7802.182469999999,-8922.00834
2017-07-03,-5612.533507,-6908.381896,-7634.614734,-8715.184266
2017-08-01,-4679.0436819999995,-5785.672638,-6543.444282,-7118.223816
2017-09-01,-5036.995964,-6167.688190000001,-6798.29491,-7569.970138000001
2017-10-02,-4597.903275999999,-5706.062044,-6357.140968,-7080.491116
2017-11-01,-5983.61442,-7483.197415,-8228.32535,-9307.081329999999
2017-12-01,-5085.36576,-6516.005429999999,-7649.904895,-8508.933095
2018-01-01,-6136.750555,-7662.598905,-8628.37573,-9870.569085
2018-02-01,-5348.038312,-6728.360063999999,-7433.218003999999,-8364.641367999999
2018-03-01,-4590.151764,-5793.248241,-6756.908994,-7601.866008000001
2018-04-02,-4133.038084,-5410.921477,-6207.330752,-7517.6257749999995
2018-05-01,-5551.53894,-7052.584817999999,-8206.502112,-9123.30396
2018-06-01,-5203.45278,-6517.059759,-7109.814077999999,-8531.678466
2018-07-02,-2944.592032,-3796.143912,-4325.759602,-4859.383836
2018-08-01,-2849.63154,-3666.126692,-4104.959676,-4734.210232
2018-09-03,-3047.2195950000005,-3929.2726050000006,-4408.40556,-5049.157005
2018-10-01,-3816.496132,-4940.745236,-5881.94635,-6621.583244
2018-11-01,-5501.851668,-7143.084701999999,-8329.762439999999,-9010.810224
2018-12-03,-3389.966178,-4416.758763,-4922.876910000001,-5907.703035
2019-01-01,-4197.748235999999,-5322.264843,-5843.350711,-6964.89576
2019-02-01,-6393.867714,-7930.077214,-8930.84728,-9782.595197999999
2019-03-01,-6413.874435000001,-7845.721989000001,-8686.650863,-9620.180045000001
2019-04-01,-6865.320826,-8549.547895,-9584.752653,-11400.546031
2019-05-01,-7003.61802,-9033.049692,-10136.858724,-11642.918292
2019-06-03,-4336.818864000001,-5544.18285,-6332.160294,-7416.3515720000005
2019-07-01,-4247.714515,-5359.066864999999,-5928.32463,-7043.144619999999
2019-08-01,-5268.734208,-6568.504344,-7575.707952,-8509.043268
2019-09-02,-3258.5534760000005,-4198.436256,-4644.017718,-5424.48156
2019-10-01,-3763.22544,-4700.343141,-5395.35789,-6110.032266
2019-11-01,-4858.137430000001,-6323.706986,-7303.351092000001,-8312.341284
2019-12-02,-7565.970624,-9456.93096,-10672.563527999999,-12045.629736
2020-01-01,-7264.551177,-9334.977678,-10387.470131999999,-12602.636748
2020-02-03,-6880.726398000001,-8338.585892000001,-8748.339418,-10117.780582
2020-03-02,-5211.461248,-6682.139407999999,-7504.26376,-8712.1804
2020-04-01,-3543.06697,-4371.651078,-4774.973489,-5609.815828
2020-05-01,-5120.999275,-6268.435613000001,-6672.099552000001,-8132.339868
2020-06-01,-4356.607248,-5473.081509,-6048.997472,-7141.637545
2020-07-01,-5351.756256000001,-6546.556275,-7280.852102999999,-8443.355823
2020-08-03,-4219.611228,-5165.792506,-5812.028775,-6746.359017999999
2020-09-01,-4418.754296,-5545.171568,-6301.8384479999995,-6977.586912
2020-10-01,-5138.922745,-6613.882144,-7700.364206,-8653.743644
2020-11-02,-3331.3712840000003,-4048.7239590000004,-4496.251579,-5039.602449
2020-12-01,-4697.773080000001,-6048.74424,-7004.71464,-7715.858304000001
2021-01-01,-4515.601656,-5829.067616,-6411.8063680000005,-7674.894904
2021-02-01,-5090.40961,-6242.951544999999,-7066.649240999999,-7806.686927
2021-03-01,-6068.600418,-7303.393796,-7963.982898,-9505.694696
2021-04-01,-6199.176275999999,-7880.758851999999,-9122.20778,-10466.876556
2021-05-03,-6040.28568,-7740.890343,-8841.604461,-10201.712454
