Period,VaR95,CVaR95,VaR99,CVaR99
2016-04-29,-11380.085649738603,-14175.150164923545,-15881.102903108487,-17985.567098108488
2016-05-31,-10569.421353958325,-13844.968062039101,-15755.596810119881,-18727.537390119884
2016-06-30,-6952.423932694843,-8947.298039846944,-10114.622462999045,-11463.905878999043
2016-07-29,-7413.422409510922,-9406.839566800587,-11295.863204090252,-12234.307364090253
2016-08-31,-8205.40816364593,-10248.033454450031,-11317.52726925413,-13511.53196925413
2016-09-30,-8691.561829841121,-10797.1902280614,-11781.057693281677,-13697.056971281676
2016-10-31,-7208.16701528833,-8934.913707891696,-9950.62200049506,-11106.40216049506
2016-11-30,-8595.47017152652,-10428.713893907025,-11566.655086287525,-12895.251056287525
2016-12-30,-7751.595636521103,-9771.905110789608,-11176.756914058114,-12415.850122058113
2017-01-31,-6852.0127586629715,-8461.679012095206,-9170.865910527442,-10868.555494527443
2017-02-28,-10965.324881525261,-14267.055929434711,-16705.71306834416,-18077.737124344163
2017-03-31,-8829.646352936976,-11387.956795206639,-13081.248212476301,-14440.8379374763
2017-04-28,-10599.107720232092,-12658.876926753772,-14315.878033275454,-15513.517676275453
2017-05-31,-9492.240498254725,-12240.121007664273,-14007.196946073815,-14972.938736073815
2017-06-30,-12721.136421007232,-15382.779305969094,-16826.058455930957,-17916.69192593096
2017-07-31,-12572.142869500462,-15297.202464257143,-16833.968553013827,-18482.956992013824
2017-08-31,-12231.688739684032,-14716.921555663184,-15829.519207642334,-18105.868335642335
2017-09-29,-11888.335421457175,-14652.783421088563,-16362.01865471995,-18148.57657271995
2017-10-31,-11194.168984160875,-14180.283356049136,-15556.130315937398,-18012.438847937396
2017-11-30,-12471.830848654186,-15577.621654666124,-17013.561190678065,-20173.423895678065
2017-12-29,-11134.717564470848,-14034.493369235683,-16333.215819000518,-18230.790339000516
2018-01-31,-13524.62717854214,-17021.025140581165,-19376.656072620193,-22276.357552620193
2018-02-28,-17824.114161777426,-21555.73915143883,-24398.707025100237,-26218.578949100236
2018-03-30,-10990.824321360868,-13500.678238068365,-15193.187527775859,-16521.80419077586
2018-04-30,-10204.398471110493,-12932.701863738299,-15298.214521366112,-16821.483653366115
2018-05-31,-12372.479540225338,-15831.791694997562,-17634.546524769787,-20674.388642769783
2018-06-29,-11106.4665921025,-14146.674874597862,-15842.245582093223,-18392.77666909322
2018-07-31,-7143.134217665721,-9043.095986246179,-10153.585562826636,-11261.895234826636
2018-08-31,-8144.1291854688625,-10341.101708767826,-12290.855188066793,-13304.998136066792
2018-09-28,-7592.1391522731865,-9332.987624890413,-10233.634707507641,-11702.932992507642
2018-10-31,-10551.686046603862,-12558.447701339031,-13592.7420820742,-15468.5707280742
2018-11-30,-12859.952514673947,-17408.86214037451,-20312.743792075067,-22422.24625007507
2018-12-31,-10862.811994619324,-13436.285856973647,-15259.747815327974,-16875.35094932797
2019-01-31,-10843.046694460778,-13626.964663985382,-15200.245368509986,-17715.58742950999
2019-02-28,-17604.216165746308,-21878.67394693472,-24634.492010123133,-27470.57713412313
2019-03-29,-15252.254426551292,-18788.45846255556,-20842.246453559834,-23502.80329255983
2019-04-30,-14423.586097782703,-18869.825600909702,-21517.278072036697,-25571.455227036695
2019-05-31,-21196.488016146555,-27709.071929628044,-32698.977019109534,-34750.95763310954
2019-06-28,-9645.016497424742,-13073.808875371902,-15550.438325319066,-17458.674639319062
2019-07-31,-11941.128004750404,-14554.81707800712,-16195.964481263834,-17518.606441263837
2019-08-30,-13036.144678924345,-15732.00910528795,-17587.762087651558,-19204.92409965156
2019-09-30,-8476.969490950236,-10771.401150387726,-12297.042543825217,-13874.481141825216
2019-10-31,-11463.38994113036,-14822.51707796041,-17198.464549790464,-18797.70315179046
2019-11-29,-13784.510858057634,-17432.882248076945,-19711.594398096255,-21491.362890096254
2019-12-31,-16742.428216164823,-21153.50865225176,-23608.818792338698,-27324.9180963387
2020-01-31,-20267.482679140612,-26213.13120922931,-30755.443480318005,-34433.30993231801
2020-02-28,-19218.505649151874,-23297.60130299932,-26143.357576846764,-28851.163950846763
2020-03-31,-13674.762120939242,-16757.357683922437,-18716.336206905635,-20573.339774905635
2020-04-30,-10772.462670332367,-13173.918792868562,-15175.699591404758,-16313.803600404757
2020-05-29,-19804.534037290985,-22862.393033475815,-24991.448793660642,-26371.889013660642
2020-06-30,-15755.860427483054,-25398.33630885974,-34208.93659323643,-35678.18669723643
2020-07-31,-15771.13764272234,-19802.25440551812,-23380.8697203139,-24685.710852313903
2020-08-31,-13940.336926855562,-18742.314476279058,-23434.68669070255,-24601.645385702555
2020-09-30,-15632.017607690337,-18275.313598447203,-20395.879757204068,-21841.20233320407
2020-10-30,-13747.476814736427,-17952.321120548524,-21896.169466360625,-23331.168842360625
2020-11-30,-10997.097903316353,-13443.130888655367,-15092.258075994385,-16461.433539994385
2020-12-31,-16208.650755572235,-19903.912820806196,-22545.848150040158,-24061.31348604016
2021-01-29,-18061.422767270633,-21725.367887726374,-24565.480480182116,-26388.295544182118
2021-02-26,-16605.93800764077,-19771.254966640772,-21302.06608664077,-23578.338014640773
2021-03-31,-17869.869070026896,-22160.07055589483,-24977.06362576276,-27494.49019976276
2021-04-30,-15045.480716448881,-18614.978957344578,-20929.68974624027,-23151.32569424027
2021-05-31,-18101.70665769721,-22712.541691000002,-25923.632119302794,-29005.624282302793
